period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
202201,1,True,01/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202201BANCOS.ZIP,2022-01-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202112,1,True,12/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202112BANCOS.ZIP,2021-12-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202111,1,True,11/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202111BANCOS.ZIP,2021-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202110,1,True,10/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202110BANCOS.ZIP,2021-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202109,1,True,09/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202109BANCOS.ZIP,2021-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202108,1,True,08/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202108BANCOS.ZIP,2021-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202107,1,True,07/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202107BANCOS.ZIP,2021-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202106,1,True,06/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202106BANCOS.ZIP,2021-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202105,1,True,05/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202105BANCOS.ZIP,2021-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202104,1,True,04/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202104BANCOS.ZIP,2021-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202103,1,True,03/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202103BANCOS.ZIP,2021-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202102,1,True,02/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202102BANCOS.ZIP,2021-02-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202101,1,True,01/2021,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202101BANCOS.ZIP,2021-01-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202012,1,True,12/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202012BANCOS.ZIP,2020-12-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202011,1,True,11/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202011BANCOS.ZIP,2020-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202010,1,True,10/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202010BANCOS.ZIP,2020-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202009,1,True,09/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202009BANCOS.ZIP,2020-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202008,1,True,08/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202008BANCOS.ZIP,2020-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202007,1,True,07/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202007BANCOS.ZIP,2020-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202006,1,True,06/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202006BANCOS.ZIP,2020-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202005,1,True,05/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202005BANCOS.ZIP,2020-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202004,1,True,04/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202004BANCOS.ZIP,2020-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202003,1,True,03/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202003BANCOS.ZIP,2020-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202002,1,True,02/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202002BANCOS.ZIP,2020-02-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202001,1,True,01/2020,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202001BANCOS.ZIP,2020-01-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201912,1,True,12/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201912BANCOS.ZIP,2019-12-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201911,1,True,11/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201911BANCOS.ZIP,2019-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201910,1,True,10/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201910BANCOS.ZIP,2019-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201909,1,True,09/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201909BANCOS.zip,2019-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201908,1,True,08/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201908BANCOS.ZIP,2019-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201907,1,True,07/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201907BANCOS.ZIP,2019-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201906,1,True,06/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201906BANCOS.ZIP,2019-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201905,1,True,05/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201905BANCOS.ZIP,2019-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201904,1,True,04/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201904BANCOS.ZIP,2019-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201903,1,True,03/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201903BANCOS.ZIP,2019-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201902,1,True,02/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201902BANCOS.ZIP,2019-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
